,usr,dte,rte,cmt,itm,opt
191,hks*******,2018.01.11,100%,감사합니다 감사합니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:검은콩 / 수량:7개입
192,hks*******,2018.01.11,100%,감사합니다 감사합니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
193,hks*******,2018.01.11,100%,감사합니다 감사합니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
194,qwe*******,2018.01.09,100%,"단호박이랑 고구마 먹어봤는데, 고구마는 제스타일은 아니구
단호박은 완전 대박 맛잇음. 아침에 급할때 들고 나가면서 먹음됨.
운전할때도 굿. 편하고 좋음",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
195,imi*******,2018.01.06,100%,좋아요~ 자주 구매하는 상품이예요~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
196,pam*******,2018.01.06,100%,좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
197,pam*******,2018.01.06,100%,좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
198,il1*******,2018.01.02,100%,몇 번 구입했었는데.  갖고 다니면서   간편하게 먹기 좋아요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
199,jhm*******,2017.12.31,100%,심하게달지도않고적당히좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
200,chl*******,2017.07.19,100%,맛있고 먹기도 편합니다. 재구매 예정입니다.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
201,chl*******,2017.07.19,100%,맛있고 먹기도 편합니다. 재구매 예정입니다.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
202,cie*******,2017.07.17,100%,단호박이 제일 맛있는 거 같아요~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
203,cie*******,2017.07.17,100%,간편하게 먹을 수 있어서 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
204,han*******,2017.07.12,100%,"맛없어요
ㅋㅋ후회중ㅠㅠ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
205,han*******,2017.07.12,100%,"별로..
맛에서 인공적인 맛이 많이나고...
ㅠㅠ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
206,qkr*******,2017.07.08,100%,간단하게 챙겨먹기좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
207,nar*******,2017.06.29,100%,양이 적긴 하지만 맛이 좋아요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
208,jin*******,2017.06.28,100%,단팥이 제일 맛있어요. 두 개 주문. 출출할 때 낮밤 가리지 않고 먹어요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
209,jud*******,2017.06.27,100%,엄마가 일하다가 가끔 끼니를 놓치셔서 사드렸는데 너무 좋아하세요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
210,jud*******,2017.06.27,100%,엄마가 일하다가 가끔 끼니를 놓치셔서 사드렸는데 너무 좋아하세요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
211,wjd*******,2017.06.22,100%,좋아요 좋아요 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
212,wjd*******,2017.06.22,100%,좋아요 좋아요 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
213,wjd*******,2017.06.22,100%,좋아요 좋아요 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
214,Ept*******,2017.06.22,100%,"생각없이 밥 못먹을 때 먹으려고 구매했는 데 내 식성에는 넘 안 맞아서
못 먹고 있음",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
215,pup*******,2017.06.17,100%,it's good.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
216,lmh*******,2017.06.06,80%,아침에 간편하게 먹기 좋아요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
217,mir*******,2017.05.29,60%,"간이 세지 않아서 부담스럽지 않은 아침대용. 
가끔 먹을만 해요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
218,lcs*******,2017.05.29,100%,출근할 때  아침식사 대용으로  준비했어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
219,lcs*******,2017.05.29,100%,출근할 때  아침식사 대용으로  준비했어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
220,lcs*******,2017.05.29,100%,출근할 때  아침식사 대용으로  준비했어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
221,lcs*******,2017.05.29,100%,출근할 때  아침식사 대용으로  준비했어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
222,pmj*******,2017.05.18,80%,한번 구매해서 먹어본후 이번이 세번째구매인데요 덜달고 양도 한번에 먹기에 적당해서 좋습니다 보관도 그냥 상온에 해도되고 유통기한도 비교적 긴편이라 신경 안써도되고 밥먹기싫을때나 간식으로 먹고있는데요 가격만 좀 저렴했으면 좋겠습니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
223,pmj*******,2017.05.18,80%,세종류를 다구매해서 그냥 상온에 놓아두고 먹는데 저희집은  단호박을 가장 선호합니다 그런데 귀리가 새로 나왔네요 다음번엔 귀리도 구매해봐야겠네요 요즘은 간단하게 점심대용으로 물김치와 함께 혹은 간식으로 먹습니다 저는 한번에 먹기에 양도 적당한거 같습니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
224,pmj*******,2017.05.18,80%,이번이 세번째 구매입니다 종류별로 사서 그냥 상온에 보관하면서 밥먹기싫을때나 간식으로 먹고있습니다 간편해서 좋은데 가격이 비싼편입니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
225,vid*******,2017.05.17,100%,신속하게 잘 받았어요~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
226,hap*******,2017.05.17,60%,"아침식사 대용으로 사봤는데
단팥은 먹을만한데 호박은 맛이 없어요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
227,yjv*******,2017.05.16,100%,좋아요 ~ 만족입니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
228,yjv*******,2017.05.16,100%,좋아요 ~ 만족입니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
229,yjv*******,2017.05.16,100%,좋아요 ~ 만족입니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
230,yjv*******,2017.05.16,100%,좋아요 ~ 만족입니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
231,for*******,2017.05.15,100%,"두번시켜서 먹어본 결과 전 항상 단호박이 더 맛나고 
거부감이 없어서 좋은거 같아여
정말 편하게 먹을 수 있어서 좋네요 ㅎ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
232,mh5*******,2017.05.12,100%,양이 작아요 ㅋㅋ 그래도 맛있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
233,mh5*******,2017.05.12,100%,맛잇는데 양이 작아서.. 그냥 간식입니다. ㅋ,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
234,Ept*******,2017.05.11,100%,"식사 대용으로 간단히 먹으려고 귀리랑 고구마 샀는데 
제 입맛에는 한 번 쯤 생각해보고 사야 될 듯 합니다",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
235,sj1*******,2017.05.04,100%,잘받았어요..간편하구먹기편해요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
236,sj1*******,2017.05.04,100%,배송빠르고맛도좋아요..간편하게먹기편해요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
237,alw*******,2017.05.03,100%,단팥죽을 좋아하는데 참 맛있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
238,alw*******,2017.05.03,100%,맛있네요  배송도 빠르고 건강해지는 느낌이예요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
239,mym*******,2017.05.01,100%,행사기간에 사 봤는데 의외로 먹을만 합니다. 고구마 보다는 호박죽이 좀 더 익숙한 맛이구요. 좀 덜 달았으면 좋겠습니다. 바쁜 아침  식사로 손색없네요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
240,yeo*******,2017.05.01,80%,"잘 받았습니다.. 착한 가격, 좋은 상품 만들어 주세요 ^^",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
241,hey*******,2017.04.30,80%,항상 먹는 제품입니다. 햄프씨드를 섞어먹으면 다이어트식 한끼가 완성되요! 근데 눕혀서 전자레인지 돌리면 플라스틱 냄새 나므로 절대 눕혀서 전자레인지에 데워 드시지 마세요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
242,ryu*******,2017.04.27,100%,먹을 만합니다. 다만 자주 먹으면 메스껍네요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
243,ryu*******,2017.04.27,100%,고구마는 처음인데 생각보다 맛있습니다.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
244,yhj*******,2017.04.22,100%,가격만 저렴하면 좋겟어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
245,gt-*******,2017.04.21,80%,................,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
246,gt-*******,2017.04.21,100%,.................,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
247,gt-*******,2017.04.21,80%,.................,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
248,lee*******,2017.04.20,100%,귀리죽이 갑인 듯ㅋㅋㅋ호박죽보다 맛있음,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
249,lee*******,2017.04.20,100%,양도 적당하고 아침에 간편하게 먹기 좋아요 ㅋㅋㅋ,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
250,nay*******,2017.04.19,100%,"어머니  사서 드렸는데, 맛있다고 하시네요.",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
251,nay*******,2017.04.19,100%,"어머니  사서 드렸는데, 맛있다고 하시네요..",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
252,nay*******,2017.04.19,100%,"어머니  사서 드렸는데, 맛있다고 하시네요.",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
253,nay*******,2017.04.19,100%,"어머니  사서 드렸는데, 맛있다고 하시네요.",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
254,eun*******,2017.04.18,100%,아침 대용으로 먹는데 맛있었습니다. 간단히 먹기도 좋았어요!,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
255,kik*******,2017.04.17,100%,가격이 저렴하고 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
256,kik*******,2017.04.17,100%,가격이 저렴하고 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
257,pm1*******,2017.04.17,100%,좋아요좋아요좋아요좋아요좋아요^*^,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
258,pm1*******,2017.04.17,100%,좋아요좋아요좋아요좋아요좋아요^*^,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
259,pm1*******,2017.04.17,100%,좋아요좋아요좋아요좋아요좋아요^*^,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
260,yur*******,2017.04.13,80%,귀리 빼고 다 맛있어서 재 구매했어요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
261,yur*******,2017.04.13,80%,맛 있어서 다시 구매 했네요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
262,yur*******,2017.04.13,80%,맛있어서 다시 재 구매했어요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
263,wjd*******,2017.04.13,100%,"세번째구입해요
아침식사로 부담없이 딱입니다",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
264,joo*******,2017.04.12,60%,"그냥 그래요. 뭐랄까.. 나쁘진 않은데, 굳이 찾아 먹고 싶지도 않은...  제 생각엔 씹히는 게 아예 없으니까 식감이 거부감이 들어서 특히 그런것 같은데, 아주 작은 덩어리라도 조금씩 들어가있으면 훨씬 먹기에 나았을 것 같아요. 고구마맛보단 귀리맛이 나아요!",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
265,623*******,2017.04.12,80%,맛있어요  아침에 들고나가서 먹기편리,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
266,623*******,2017.04.12,80%,아침에 하나씩 들고나가 먹기 좋겠어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
267,623*******,2017.04.12,100%,맛있네요 간편하게 아침에 하나씩 들고나가 먹을거같아여,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
268,ell*******,2017.04.12,100%,다른 곳 보다 싸게 잘 산거 같아요!,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
269,lym*******,2017.04.06,100%,단호박은 항상먹던거에용ㅋㅋ 맛잇고 간편합니당,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
270,lym*******,2017.04.06,40%,"간편하게 먹을수 있어서 가끔구매하는 상품인데
귀리는 신제품이라 사봤는데 맛은 그냥.. 제입맛엔그냥그래요ㅠㅠ
단호박이 역시 최고네요ㅠㅠ",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
271,mar*******,2017.04.06,100%,맛있는데 양이 진짜 넘나 적네요~~ ㅋㅋㅋ 그래도 굶는거보단 나은듯. 맛은 있어요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
272,jyk*******,2017.04.05,100%,오반장으로 구입  좀 달아요.......,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
273,jsa*******,2017.04.04,80%,양이 너무 적네요..ㅎ,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
274,yul*******,2017.04.04,100%,간편하게 먹기는 좋은데 양이 적어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
275,dng*******,2017.04.03,100%,차게해서 먹어도 정말 맛있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
276,ken*******,2017.04.02,100%,맛있어요 아침 굶지 않아서 좋아요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
277,sou*******,2017.03.31,100%,급할때 아침대용으로 딱이에요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
278,chi*******,2017.03.28,100%,단호박과 함께 구입했는데 귀리가 훨 맛있네요. 그런데 양이 작아도 너무 작아요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:귀리 / 수량:7개입
279,pmj*******,2017.03.28,100%,아침식사대용으로 또는 간식으로 간단히 먹기에 괜찮습니다 다들 양이 적다고들 하시는데 전 딱 적당하던데요 아이가 먹기에도 적당하고요 출근길에 갖고나가기에도 간편하고 좋습니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
280,woa*******,2017.03.26,100%,"단호박 팥맛이
맛있습니다",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
281,woa*******,2017.03.26,100%,"고구마죽은 좀
희한하네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
282,woa*******,2017.03.26,100%,"간편한게
먹기에 좋네요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
283,jin*******,2017.03.24,100%,간편해서 좋은데 양이 적어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
284,jin*******,2017.03.24,100%,용기에서 조금 플라스틱 냄새가 나는듯해요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
285,oga*******,2017.03.18,100%,편리하고 좋아요~~~~,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
286,jul*******,2017.03.10,100%,단호박이 제일 괜찮구요. 진짜 간편하네요.,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
287,abc*******,2017.03.07,100%,아 진짜 단호박 본죽에서 파는맛이랑 똑같,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
288,sin*******,2017.03.06,100%,모닝죽 그냥그러네요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
289,lot*******,2017.03.02,100%,오반장에 올라왔길래 사봤는데 맛있네요. 재구매 의사 있어요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
290,wol*******,2017.03.02,80%,간편하게 들고다니기 변하네요,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
291,mtm*******,2017.03.01,80%,우와 정말 딱 한 숟갈이라도 먹었으면 좋겠다 할때 먹으면 딱 좋은...양은 넘나 작은,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
292,lyj*******,2017.02.24,100%,그냥 편하게 먹기 죠운뎅 너무 비싸용ㅋㅋ,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
293,lyj*******,2017.02.24,100%,그냥 편하게 먹기 죠운뎅 너무 비싸용ㅋㅋ,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
294,soo*******,2017.02.22,100%,좋아요좋은상품감사합니다,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
295,tin*******,2017.02.22,100%,개인적이지만 양 적은지는 모르겟구 (원래 아침을 안먹어서) 그리 단맛도 아니어서 잘먹구 있어요!,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단팥 / 수량:7개입
296,msb*******,2017.02.18,100%,"급할때 휴대해서 먹기 편해요
맛도 좋고 재구매 의사있어요",(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
297,eks*******,2017.02.16,100%,좋아요 아침대용 간단하게,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:단호박 / 수량:7개입
298,eks*******,2017.02.16,100%,가족모두 너무 맛있게 먹었네요!,(3+랜덤증정)간편한 아침 모닝죽 1주일(130gx7팩) 단호박/단팥/귀리/검은콩,[구매옵션] 맛선택:고구마 / 수량:7개입
